unix_ms,frame,world_pos_x,world_pos_y,world_pos_z,center_screen_pos_x,center_screen_pos_y,center_screen_pos_z,left_screen_pos_x,left_screen_pos_y,left_screen_pos_z,right_screen_pos_x,right_screen_pos_y,right_screen_pos_z
1765412130484,14589,0,1.25,0.5,3742.573,482.4729,0.2708253,2369.179,482.4729,0.2708253,2274.759,482.4729,0.2708253
1765412130498,14590,0,1.25,0.5,3751.204,482.0092,0.2700803,2373.716,482.0092,0.2700802,2279.035,482.0093,0.2700802
1765412130512,14591,0,1.25,0.5,3755.747,482.1011,0.2696857,2376.105,482.1008,0.2696857,2281.286,482.1012,0.2696857
1765412130526,14592,0,1.25,0.5,3753.956,482.2534,0.2698323,2375.164,482.2534,0.2698324,2280.397,482.2532,0.2698323
1765412130540,14593,0,1.25,0.5,3752.647,482.1719,0.2699279,2374.479,482.1723,0.2699279,2279.745,482.1724,0.269928
1765412130554,14594,0,1.25,0.5,3749.298,482.7182,0.2702003,2372.721,482.7179,0.2702004,2278.083,482.7182,0.2702004
1765412130568,14595,0,1.25,0.5,3741.755,482.8615,0.2708233,2368.761,482.862,0.2708233,2274.341,482.8619,0.2708232
1765412130582,14596,0,1.25,0.5,3736.533,483.2868,0.2712418,2366.023,483.2868,0.2712419,2271.748,483.2868,0.2712419
1765412130596,14597,0,1.25,0.5,3728.36,483.8152,0.2719127,2361.734,483.8152,0.2719126,2267.691,483.8152,0.2719127
1765412130610,14598,0,1.25,0.5,3718.489,485.3021,0.27275,2356.549,485.3026,0.27275,2262.796,485.3025,0.2727499
1765412130623,14599,0,1.25,0.5,3711.183,486.6767,0.2733803,2352.711,486.677,0.2733803,2259.174,486.6766,0.2733803
1765412130637,14600,0,1.25,0.5,3703.104,487.4157,0.2740796,2348.467,487.4157,0.2740796,2255.168,487.4157,0.2740797
1765412130651,14601,0,1.25,0.5,3696.595,488.5097,0.2746521,2345.046,488.51,0.2746521,2251.942,488.51,0.2746521
1765412130665,14602,0,1.25,0.5,3691.657,488.821,0.2750857,2342.452,488.8213,0.2750856,2249.494,488.8213,0.2750857
1765412130679,14603,0,1.25,0.5,3688.938,489.2236,0.275328,2341.022,489.2237,0.275328,2248.146,489.2237,0.275328
1765412130693,14604,0,1.25,0.5,3689.201,489.5326,0.2753049,2341.16,489.5323,0.2753049,2248.277,489.5326,0.2753049
1765412130706,14605,0,1.25,0.5,3687.959,489.1865,0.2754142,2340.509,489.1864,0.2754141,2247.661,489.1861,0.2754141
1765412130721,14606,0,1.25,0.5,3689.717,488.9063,0.2752723,2341.43,488.9057,0.2752722,2248.535,488.9058,0.2752723
1765412130735,14607,0,1.25,0.5,3691.766,487.9361,0.2751025,2342.504,487.9365,0.2751024,2249.553,487.9365,0.2751025
1765412130748,14608,0,1.25,0.5,3693.741,487.066,0.2749439,2343.539,487.0657,0.2749439,2250.534,487.066,0.2749439
1765412130763,14609,0,1.25,0.5,3697.385,485.7505,0.2746333,2345.453,485.7505,0.2746333,2252.342,485.7505,0.2746332
1765412130776,14610,0,1.25,0.5,3696.871,484.8105,0.2746882,2345.181,484.8105,0.2746882,2252.089,484.81,0.2746881
1765412130790,14611,0,1.25,0.5,3695.131,483.1448,0.2748311,2344.269,483.1448,0.2748311,2251.225,483.1448,0.2748311
1765412130804,14612,0,1.25,0.5,3696.547,480.2564,0.2746771,2345.017,480.2557,0.2746771,2251.921,480.2564,0.2746771
1765412130818,14613,0,1.25,0.5,3695.388,476.7419,0.274757,2344.412,476.7423,0.274757,2251.343,476.7415,0.274757
1765412130832,14614,0,1.25,0.5,3695.157,472.7521,0.2747528,2344.295,472.7521,0.2747528,2251.225,472.7521,0.2747528
1765412130846,14615,0,1.25,0.5,3694.513,468.7795,0.2747882,2343.96,468.7794,0.2747881,2250.902,468.7791,0.2747882
1765412130860,14616,0,1.25,0.5,3695.171,464.0701,0.2747068,2344.31,464.0701,0.2747068,2251.224,464.0702,0.2747069
1765412130874,14617,0,1.25,0.5,3695.787,459.0618,0.2746226,2344.638,459.0619,0.2746226,2251.525,459.0618,0.2746226
1765412130888,14618,0,1.25,0.5,3693.133,454.1204,0.2748177,2343.251,454.1207,0.2748177,2250.202,454.1207,0.2748176
1765412130902,14619,0,1.25,0.5,3691.984,448.2482,0.2748637,2342.656,448.2483,0.2748638,2249.623,448.2483,0.2748637
1765412130916,14620,0,1.25,0.5,3690.795,442.5896,0.2749196,2342.041,442.5892,0.2749194,2249.027,442.589,0.2749194
1765412130929,14621,0,1.25,0.5,3687.589,436.6124,0.2751517,2340.363,436.6124,0.2751517,2247.427,436.6122,0.2751517
