unix_ms,frame,world_pos_x,world_pos_y,world_pos_z,center_screen_pos_x,center_screen_pos_y,center_screen_pos_z,left_screen_pos_x,left_screen_pos_y,left_screen_pos_z,right_screen_pos_x,right_screen_pos_y,right_screen_pos_z,video_x,video_y
1765412134847,14903,0.0,1.25,0.5,786.8245,426.1152,0.5236477,837.2667,426.1152,0.5236477,788.4336,426.1148,0.5236477,1310.0745980179734,1634.8952242223195
1765412134874,14905,0.0,1.25,0.5,787.8239,431.0451,0.524891,837.7191,431.0451,0.524891,789.0018,431.0453,0.524891,1311.8282856177373,1625.1384206590544
1765412134916,14908,0.0,1.25,0.5,789.4265,443.3544,0.527849,838.4008,443.3541,0.527849,789.9565,443.3542,0.527849,1314.4701966151588,1600.7772731129062
1765412134944,14910,0.0,1.25,0.5,790.6047,454.687,0.5305986,838.8769,454.687,0.5305986,790.6836,454.6868,0.5305986,1316.3149527465448,1578.3478524892362
1765412134972,14912,0.0,1.25,0.5,791.9616,467.8346,0.5336774,839.4306,467.8345,0.5336774,791.5153,467.8346,0.5336774,1318.4603917177153,1552.3270813773634
1765412135013,14915,0.0,1.25,0.5,794.6926,488.4178,0.5383566,840.6168,488.418,0.5383566,793.1179,488.418,0.5383566,1323.057588645558,1511.5896301568291
1765412135041,14917,0.0,1.25,0.5,796.2294,503.9551,0.541827,841.2493,503.9553,0.541827,794.0547,503.9554,0.5418269,1325.5082887465283,1480.8390900895945
1765412135083,14920,0.0,1.25,0.5,797.3792,530.9622,0.5476087,841.5872,530.9622,0.5476087,794.8909,530.9622,0.5476087,1326.8150817645424,1427.3880439330076
1765412135110,14922,0.0,1.25,0.5,796.3959,550.8336,0.5516499,840.9141,550.8336,0.5516499,794.5599,550.8338,0.5516499,1324.2023180562603,1388.0586752842664
1765412135138,14924,0.0,1.25,0.5,794.8133,563.9492,0.5541592,840.0012,563.9492,0.5541592,793.8569,563.9492,0.5541592,1320.660532321439,1362.1000259268612
1765412135180,14927,0.0,1.25,0.5,793.8268,571.296,0.5552533,839.452,571.2962,0.5552533,793.3986,571.296,0.5552533,1318.5298674543592,1347.55867519158
1765412135208,14929,0.0,1.25,0.5,791.9587,573.3022,0.5552843,838.4969,573.3022,0.5552843,792.4461,573.3022,0.5552843,1314.825887870935,1343.5877974597051
1765412135249,14932,0.0,1.25,0.5,787.9057,573.6057,0.5552847,836.4276,573.6052,0.5552847,790.3768,573.6054,0.5552847,1306.8014498986608,1342.9866781413025
1765412135277,14934,0.0,1.25,0.5,790.4691,574.2137,0.5557222,837.7182,574.2134,0.5557222,791.7037,574.2134,0.5557222,1311.806100865024,1341.7838383392984
1765412135305,14936,0.0,1.25,0.5,789.2251,571.429,0.555203,837.1046,571.429,0.555203,791.047,571.429,0.555203,1309.4270265400748,1347.2942185774862
1765412135347,14939,0.0,1.25,0.5,792.553,563.0493,0.5540466,838.8518,563.049,0.5540466,792.6981,563.049,0.5540466,1316.2034694067122,1363.8808813371584
1765412135374,14941,0.0,1.25,0.5,797.4326,559.1774,0.5538273,841.3524,559.1772,0.5538273,795.1804,559.1774,0.5538273,1325.9008824645314,1371.5455651155762
1765412135416,14944,0.0,1.25,0.5,804.4041,549.3459,0.5523523,844.9734,549.3461,0.5523523,798.6782,549.3461,0.5523522,1339.9437970032818,1391.0054985510076
1765412135444,14946,0.0,1.25,0.5,810.7896,541.5153,0.5511854,848.2827,541.5153,0.5511855,801.8893,541.5153,0.5511854,1352.7777300136165,1406.5062802900045
1765412135471,14948,0.0,1.25,0.5,818.5564,530.1042,0.5491728,852.3331,530.1042,0.5491728,805.7699,530.1042,0.5491728,1368.4859920619701,1429.0936011119097
1765412135513,14951,0.0,1.25,0.5,829.8875,508.0753,0.5447232,858.3087,508.0756,0.5447232,811.365,508.0753,0.5447232,1391.6612432982427,1472.696103385793
1765412135541,14953,0.0,1.25,0.5,837.6171,495.507,0.5423344,862.3585,495.507,0.5423344,815.2081,495.507,0.5423344,1407.3673297918358,1497.5743145020915
1765412135583,14956,0.0,1.25,0.5,848.7707,475.8542,0.5384614,868.2229,475.8542,0.5384614,820.7333,475.8542,0.5384614,1430.111055846382,1536.4746248777628
1765412135610,14958,0.0,1.25,0.5,854.86,466.4409,0.5367076,871.4095,466.4413,0.5367076,823.7648,466.4411,0.5367076,1442.4693854200755,1555.1065686158777
1765412135638,14960,0.0,1.25,0.5,858.2603,458.7128,0.5353283,873.2069,458.7128,0.5353283,825.4393,458.7128,0.5353283,1449.440410396966,1570.4038360147993
1765412135680,14963,0.0,1.25,0.5,859.9299,452.2941,0.5342194,874.1089,452.2943,0.5342194,826.2423,452.2941,0.5342196,1452.939053262212,1583.1077701326667
1765412135708,14965,0.0,1.25,0.5,860.1888,450.7402,0.5339859,874.2516,450.7398,0.5339859,826.364,450.74,0.5339858,1453.4926229176915,1586.1844904671038
1765412135749,14968,0.0,1.25,0.5,860.4873,452.7486,0.5342565,874.3918,452.7486,0.5342565,826.5285,452.7486,0.5342566,1454.0360327019732,1582.2088281974247
1765412135777,14970,0.0,1.25,0.5,861.7861,456.9384,0.5347713,875.032,456.9384,0.5347713,827.2147,456.9386,0.5347713,1456.5180738514289,1573.916939087563
1765412135805,14972,0.0,1.25,0.5,863.9294,463.7982,0.5358371,876.0787,463.7985,0.5358371,828.3566,463.7982,0.5358371,1460.5761051526504,1560.340350017072
1765412135847,14975,0.0,1.25,0.5,867.6038,482.436,0.5394213,877.7963,482.4361,0.5394213,830.3912,482.436,0.5394212,1467.2342362647835,1523.4545354483116
1765412135874,14977,0.0,1.25,0.5,869.468,497.6335,0.5425106,878.613,497.6336,0.5425106,831.4779,497.6336,0.5425105,1470.3992774485378,1493.3766450989551
1765412135916,14980,0.0,1.25,0.5,870.6328,522.8417,0.5474877,878.9935,522.8418,0.5474877,832.2869,522.8416,0.5474876,1471.8715009946905,1443.4855636978257
1765412135944,14982,0.0,1.25,0.5,870.4492,540.5276,0.5507551,878.7612,540.5276,0.5507551,832.3317,540.5273,0.5507551,1470.9683711627367,1408.4821764183139
1765412135972,14984,0.0,1.25,0.5,869.3099,558.7924,0.5539023,878.0477,558.7924,0.5539023,831.882,558.7924,0.5539022,1468.1991528164142,1372.3325163550894
1765412136013,14987,0.0,1.25,0.5,867.1923,578.0396,0.5567139,876.8499,578.0397,0.5567139,830.9173,578.0396,0.5567138,1463.5517719871216,1334.2379857702936
1765412136041,14989,0.0,1.25,0.5,865.1082,584.8969,0.5572433,875.7639,584.8969,0.5572433,829.8751,584.8969,0.5572433,1459.3395506913398,1320.665662037263
1765412136083,14992,0.0,1.25,0.5,861.6663,594.6256,0.5578879,873.9801,594.6254,0.5578879,828.1442,594.6256,0.5578879,1452.4210030768922,1301.4100615615187
1765412136110,14994,0.0,1.25,0.5,859.2181,601.5002,0.5583619,872.7108,601.5002,0.5583619,826.9137,601.5004,0.5583619,1447.497972819805,1287.802777705956
1765412136138,14996,0.0,1.25,0.5,856.5907,608.0065,0.5586831,871.3561,608.0065,0.5586832,825.5854,608.0067,0.5586832,1442.2438238013003,1274.9247594180058
1765412136180,14999,0.0,1.25,0.5,854.0237,622.3577,0.5596762,870.0048,622.3577,0.5596762,824.3154,622.3575,0.5596762,1437.0018350372904,1246.520343027462
1765412136208,15001,0.0,1.25,0.5,853.0309,636.7762,0.5607453,869.4543,636.7761,0.5607453,823.852,636.7765,0.5607453,1434.8652056153105,1217.9834798940192
1765412136249,15004,0.0,1.25,0.5,851.1302,667.1702,0.5624526,868.4147,667.1702,0.5624526,822.9508,667.1703,0.5624526,1430.8298423255026,1157.8276327002477
1765412136277,15006,0.0,1.25,0.5,851.1594,694.7389,0.5635156,868.3867,694.7389,0.5635156,823.0085,694.7393,0.5635155,1430.717663140882,1103.2644352080204
1765412136305,15008,0.0,1.25,0.5,852.3088,727.9446,0.5640121,868.9537,727.9443,0.5640121,823.6154,727.9446,0.5640121,1432.912058151083,1037.5456544950703
1765412136346,15011,0.0,1.25,0.5,855.2758,787.4711,0.5632775,870.498,787.4713,0.5632775,825.1007,787.4713,0.5632775,1438.8928216462084,919.7325956699472
1765412136374,15013,0.0,1.25,0.5,856.9374,827.6107,0.5610129,871.438,827.6107,0.561013,825.8574,827.6104,0.561013,1442.532742678059,840.2904994272603
1765412136414,15016,0.0,1.25,0.5,860.3007,871.5115,0.5545596,873.4204,871.5115,0.5545596,827.3095,871.5117,0.5545596,1450.2144249558178,753.4046690599594
1765412136442,15018,0.0,1.25,0.5,864.1868,893.3785,0.5493343,875.6239,893.3787,0.5493344,829.0743,893.3787,0.5493343,1458.756373072872,710.1272589429686
1765412136484,15021,0.0,1.25,0.5,868.1285,927.7292,0.5416932,877.9647,927.7292,0.5416932,830.7585,927.729,0.5416932,1467.8291175158702,642.143355408647
1765412136512,15023,0.0,1.25,0.5,868.5132,943.3979,0.5366527,878.3829,943.3978,0.5366528,830.7332,943.3977,0.5366529,1469.4487810070304,611.132802019815
1765412136540,15025,0.0,1.25,0.5,866.7241,954.8387,0.5319802,877.6787,954.8387,0.5319802,829.6105,954.8387,0.5319802,1466.7165175559376,588.4888150032116
1765412136582,15028,0.0,1.25,0.5,861.8361,960.5469,0.5261846,875.4477,960.5469,0.5261845,826.8501,960.5471,0.5261846,1458.0643282955439,577.1897675263058
1765412136609,15030,0.0,1.25,0.5,856.6816,957.1587,0.5231262,872.958,957.1587,0.5231262,824.0763,957.1587,0.5231262,1448.4101316099445,583.8938744778636
1765412136651,15033,0.0,1.25,0.5,846.9805,950.6804,0.5193975,868.1803,950.6801,0.5193974,818.9477,950.6801,0.5193976,1429.8838581301632,596.7128306139894
1765412136679,15035,0.0,1.25,0.5,839.4598,945.8239,0.5173498,864.4379,945.8239,0.5173496,815.0104,945.8239,0.5173497,1415.3720925943,606.3214949977628
1765412136707,15037,0.0,1.25,0.5,832.7189,941.6295,0.5156854,861.076,941.6295,0.5156853,811.489,941.6295,0.5156854,1402.3357558369853,614.6206068815841
1765412136748,15040,0.0,1.25,0.5,824.5704,939.53,0.5131339,857.0389,939.5304,0.5131339,807.2053,939.5304,0.5131339,1386.6808331002228,618.772294526733
1765412136776,15042,0.0,1.25,0.5,820.4777,938.2956,0.5116006,855.024,938.2956,0.5116006,805.041,938.2953,0.5116005,1378.8675500094566,621.2147823444482
1765412136818,15045,0.0,1.25,0.5,816.519,937.2321,0.5095142,853.1051,937.2322,0.5095143,802.9175,937.2321,0.5095142,1371.42651643966,623.3181065731592
1765412136846,15047,0.0,1.25,0.5,815.3428,937.6336,0.5086709,852.5461,937.6336,0.5086708,802.2753,937.6334,0.5086708,1369.2587557620204,622.5232808211406
1765412136873,15049,0.0,1.25,0.5,815.9207,936.9274,0.507849,852.8819,936.9276,0.5078489,802.5297,936.9276,0.5078488,1370.5610240414303,623.9208078423942
1765412136915,15052,0.0,1.25,0.5,818.3095,933.6209,0.5073634,854.1257,933.6209,0.5073635,803.7253,933.6209,0.5073636,1375.3847036573254,630.4661931728174
1765412136943,15054,0.0,1.25,0.5,820.4366,931.5925,0.5069921,855.2302,931.5927,0.506992,804.7928,931.5925,0.506992,1379.6680342872767,634.4811117810677
1765412136984,15057,0.0,1.25,0.5,823.2227,929.6078,0.5067555,856.6644,929.6076,0.5067555,806.2036,929.6078,0.5067555,1385.2298806031604,638.4109560187196
1765412137012,15059,0.0,1.25,0.5,824.9211,927.4886,0.5065764,857.5405,927.4886,0.5065764,807.0618,927.4889,0.5065764,1388.6275261891644,642.6054254907317
1765412137040,15061,0.0,1.25,0.5,826.5473,925.9489,0.5066323,858.368,925.9489,0.5066322,807.8949,925.9489,0.5066321,1391.8366334805853,645.6533274685471
1765412137082,15064,0.0,1.25,0.5,828.8086,925.7875,0.5064353,859.5324,925.7875,0.5064353,809.0397,925.7875,0.5064353,1396.3520025021674,645.9735706145432
1765412137110,15066,0.0,1.25,0.5,829.6061,924.6613,0.5064545,859.9387,924.6615,0.5064545,809.4478,924.6615,0.5064544,1397.927712802677,648.2023982903047
1765412137151,15069,0.0,1.25,0.5,829.3895,922.5513,0.506409,859.8303,922.5509,0.506409,809.3349,922.5509,0.5064091,1397.507631378867,652.3795621743166
1765412137207,15073,0.0,1.25,0.5,825.3555,920.4686,0.5067442,857.7539,920.4688,0.5067442,807.292,920.4688,0.5067441,1389.4559722399742,656.4989592700956
1765412137207,15073,0.0,1.25,0.5,825.3555,920.4686,0.5067442,857.7539,920.4688,0.5067442,807.292,920.4688,0.5067441,1389.4559722399742,656.4989592700956
1765412137249,15076,0.0,1.25,0.5,820.0551,915.6442,0.5070795,855.031,915.644,0.5070794,804.6024,915.6438,0.5070795,1378.8976526478837,666.046182420803
1765412137276,15078,0.0,1.25,0.5,817.0641,913.641,0.5070921,853.5033,913.641,0.507092,803.0759,913.6414,0.5070919,1372.973749770823,670.0094063682361
1765412137304,15080,0.0,1.25,0.5,814.3411,912.811,0.5070902,852.1131,912.811,0.5070902,801.6856,912.811,0.5070903,1367.582895668318,671.6511575011386
1765412137346,15083,0.0,1.25,0.5,811.4371,912.043,0.5069039,850.6396,912.043,0.506904,800.1936,912.0428,0.5069039,1361.8690100382034,673.170142434916
1765412137374,15085,0.0,1.25,0.5,810.3528,911.3456,0.5067532,850.0935,911.3453,0.5067533,799.6325,911.3456,0.5067533,1359.751416916255,674.5506327089988
1765412137415,15088,0.0,1.25,0.5,809.2022,907.7656,0.5062793,849.5296,907.7656,0.5062795,799.0214,907.7656,0.5062794,1357.565174706393,681.6350821893991
1765412137443,15090,0.0,1.25,0.5,808.9631,904.5988,0.5062361,849.4098,904.5984,0.506236,798.8972,904.5988,0.506236,1357.1010239634625,687.9034305241348
1765412137471,15092,0.0,1.25,0.5,808.45,902.2125,0.5061744,849.1508,902.2127,0.5061744,798.6321,902.213,0.5061744,1356.0969769153403,692.6249603116103
1765412137513,15095,0.0,1.25,0.5,807.3843,897.2227,0.5060769,848.6117,897.2227,0.5060769,798.0832,897.2224,0.5060769,1354.0070891017374,702.5006521337352
1765412137541,15097,0.0,1.25,0.5,806.6591,893.6369,0.5059215,848.2491,893.6371,0.5059214,797.7051,893.6371,0.5059214,1352.6014553070606,709.5969178759262
1765412137581,15100,0.0,1.25,0.5,805.7978,887.2714,0.505792,847.8158,887.2712,0.505792,797.2589,887.2712,0.505792,1350.9220218152343,722.1958245415526
1765412137610,15102,0.0,1.25,0.5,805.6288,883.3437,0.5055566,847.7413,883.3439,0.5055565,797.1608,883.3439,0.5055565,1350.6336361288468,729.9685722493255
1765412137638,15104,0.0,1.25,0.5,805.7741,879.344,0.5053246,847.8271,879.344,0.5053246,797.2234,879.344,0.5053247,1350.9668764423636,737.8851185986994
1765412137680,15107,0.0,1.25,0.5,806.5293,873.8152,0.5047907,848.2395,873.8149,0.5047907,797.5822,873.8152,0.5047907,1352.5668164702352,748.8284393736474
1765412137707,15109,0.0,1.25,0.5,807.4348,870.2068,0.504456,848.7185,870.2068,0.5044559,798.0277,870.2068,0.504456,1354.4247692888846,755.9698182366567
1765412137749,15112,0.0,1.25,0.5,808.8039,864.4184,0.5038704,849.447,864.4185,0.5038704,798.6973,864.4184,0.5038704,1357.2505259571049,767.4263587053656
1765412137777,15114,0.0,1.25,0.5,809.113,860.9696,0.5035961,849.6188,860.9696,0.5035962,798.8414,860.9698,0.5035962,1357.9171879008502,774.2524411507663
1765412137805,15116,0.0,1.25,0.5,809.47,858.2599,0.5033278,849.8145,858.2599,0.5033277,799.01,858.2599,0.5033277,1358.6764335132596,779.615536737507
1765412137846,15119,0.0,1.25,0.5,810.127,855.0734,0.5030954,850.1617,855.0732,0.5030954,799.3337,855.0734,0.5030954,1360.0232330071628,785.9228017317782
1765412137874,15121,0.0,1.25,0.5,811.0326,853.7162,0.5029054,850.6337,853.7162,0.5029055,799.7866,853.7161,0.5029055,1361.853747054326,788.6088633798086
1765412137916,15124,0.0,1.25,0.5,812.5857,853.9862,0.5028247,851.4307,853.9864,0.5028245,800.5754,853.986,0.5028247,1364.944344126126,788.0746422485859
1765412137971,15128,0.0,1.25,0.5,814.9598,855.0614,0.502655,852.6514,855.0612,0.502655,801.779,855.0614,0.502655,1369.677873685819,785.9482728270946
1765412137971,15128,0.0,1.25,0.5,814.9598,855.0614,0.502655,852.6514,855.0612,0.502655,801.779,855.0614,0.502655,1369.677873685819,785.9482728270946
1765412138013,15131,0.0,1.25,0.5,816.1068,855.3736,0.5026255,853.2385,855.3734,0.5026255,802.363,855.3736,0.5026256,1371.9545082706509,785.330781407481
1765412138082,15136,0.0,1.25,0.5,816.506,853.6549,0.5026664,853.399,853.6549,0.5026664,802.6104,853.6549,0.5026664,1372.577124756192,788.7320981296177
1765412138082,15136,0.0,1.25,0.5,816.506,853.6549,0.5026664,853.399,853.6549,0.5026664,802.6104,853.6549,0.5026664,1372.577124756192,788.7320981296177
1765412138110,15138,0.0,1.25,0.5,817.0417,851.8875,0.5027076,853.6703,851.8877,0.5027075,802.8859,851.8875,0.5027076,1373.629411421278,792.229877083166
1765412138138,15140,0.0,1.25,0.5,817.595,850.7033,0.5027341,853.9515,850.7035,0.5027341,803.1697,850.7033,0.5027341,1374.7200124989981,794.5738060478884
