frame,error
0,0.1338748306642297
1,0.5052302910947186
2,0.4873524643473965
3,0.7488553985786429
4,0.0899400105043551
5,0.23290675159982843
6,0.34816557099311324
7,0.19769354386320653
8,0.2611929760534688
